Input Sample	Neurons_pos	Neurons_neg	P-value	Pearson Correlation	RMSE
R15298_HJV3YBBXX	0.3034267663180815	0.6965732336819185	0.011111111111111112	0.4580784119136711	0.8907623431097136
R15300_HJV3YBBXX	0.07436216169321176	0.9256378383067883	0.011111111111111112	0.5139703893364976	0.9103726982487781
R15301_HCJ72BBXX	0.1522008682461262	0.8477991317538738	0.8222222222222222	-0.0492	1.0863742008850583
R15305_HJV3YBBXX	0.2906445902351874	0.7093554097648126	0.044444444444444446	0.3865338402648997	0.9243768454358671
R15306_HCJ72BBXX	0.23665463903702755	0.7633453609629725	0.08888888888888889	0.2531490402735077	0.9812744048479284
R15307_HFF2HBBXX	0.30174849051715336	0.6982515094828466	0.05555555555555555	0.3006987240974019	0.9613104995213516
R15308_HJV23BBXX	0.18085279633843043	0.8191472036615696	0.044444444444444446	0.34630798710243704	0.9528190717569589
R15309_HJV3YBBXX	0.29276572329147066	0.7072342767085293	0.011111111111111112	0.4539239297055127	0.8940856517263083
R15310_HJV23BBXX	0.17556305735871514	0.8244369426412848	0.011111111111111112	0.4633734897197721	0.910994424065909
R15312_HJV3YBBXX	0.251106773453883	0.748893226546117	0.044444444444444446	0.36435330992852105	0.9372009605458212
R15313_HJV23BBXX	0.02599648798271167	0.9740035120172883	0.011111111111111112	0.5090505535891767	0.9191791869682868
R15314_HFF2HBBXX	0.27293487812097195	0.727065121879028	0.17777777777777778	0.1181117302951317	1.0331126951385805
R15315_HFF2HBBXX	0.13631911314435669	0.8636808868556435	0.14444444444444443	0.1538542424069891	1.0241219947685358
R15317_HJV3YBBXX	0.18702109370813838	0.8129789062918615	0.05555555555555555	0.293686049535034	0.9707132256493396
R15319_HJV3YBBXX	0.16240515787828044	0.8375948421217195	0.044444444444444446	0.3563314411923788	0.9520467266375857
R15320_HCJGJBBXX	0.23022682115172996	0.76977317884827	0.011111111111111112	0.4592145036925728	0.9021197934544969
R15321_HCJ72BBXX	0.2940527540583972	0.7059472459416027	0.08888888888888889	0.22549364336368957	0.992612157988207
R15322_HJV3YBBXX	0.110337804241085	0.889662195758915	0.044444444444444446	0.33785335370280434	0.9670450110851652
R15323_HCJ72BBXX	0.12752243874631888	0.8724775612536811	0.28888888888888886	0.05803565590919786	1.0559241463165696
R15324_HFF2HBBXX	0.20774091478498732	0.7922590852150126	0.044444444444444446	0.4147338050334775	0.9234588193402746
